Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@insegne.milano.group,Insegne Milano Group,Milano (MI),Insegne luminose e vetrofanie,499,R,"cercato «insegne milano» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 102 post, 499 follower. Che è strutturata si vede dal profilo: insegne luminose, vetrofanie e servizi digitali in collaborazione con un'agenzia, cioe' produzione, posa e commerciale. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende artigiane della zona. La vostra fa una cosa che poche fanno: insegne luminose e vetrofanie con dietro anche la parte digitale. Produzione, posa e progetto nella stessa ditta.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Insegne Milano Group, Milano. 499 follower, 102 post. Insegne luminose, vetrofanie, collaborazione con un'agenzia digitale. Sito insegnemilanogroup.com.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@insegneledmilano,Insegne Led Milano,Santo Stefano Ticino (MI),Insegne a led e lettere scatolate,202,R,"cercato «insegne milano» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 76 post, 202 follower. Che è strutturata si vede dal profilo: realizzazione e posa in opera di insegne a led, lettere scatolate, totem illuminati e sostituzione neon con led, con sede in via Don Gnocchi 22, cioe' officina e squadre di posa. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende artigiane della zona. La vostra ha una specialità precisa: lettere scatolate, totem illuminati e i vecchi neon che diventano led. Chi fa e chi posa, nella stessa ditta di Santo Stefano.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Insegne Led Milano, Santo Stefano Ticino (via Don Gnocchi 22). 202 follower, 76 post. Insegne a led, lettere scatolate, totem, sostituzione neon. Tel. 349 7022997. Sito insegneledmilano.it.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@cavannatraslochi_milano_1863,Cavanna Traslochi,Milano (MI),Traslochi dal 1863,1432,R,"cercato «traslochi milano» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 3 post, 1432 follower. Che è strutturata si vede dal profilo: traslochi dal 1863 in via Cosenz 18, abitazioni, ville, aziende e opere d'arte, con donazione arredi, cioe' mezzi, squadre e magazzino. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende storiche della zona. La vostra è del 1863: traslochi di ville, aziende e opere d'arte, con gli arredi che invece di finire in discarica vengono donati. Poche ditte hanno centosessant'anni di processi da raccontare.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Cavanna Traslochi, Milano (via Cosenz 18). 1.432 follower, 3 post. Traslochi premium dal 1863: abitazioni, ville, aziende, opere d'arte, donazione arredi. Tel. 02 3322111. Sito cavanna.it.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@pftraslochi,PF Traslochi Brescia,Brescia (BS),Traslochi con deposito e autoscala,268,R,"cercato «traslochi brescia» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 99 post, 268 follower. Che è strutturata si vede dal profilo: traslochi residenziali e commerciali, montaggio mobili, noleggio autoscala, deposito e imballaggio, cioe' mezzi, magazzino e squadre. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende di servizi della zona. La vostra ha dentro più mestieri di quanti se ne vedano da fuori: traslochi, autoscala a noleggio, deposito mobili, imballaggio. Mezzi e magazzino da tenere in ordine ogni giorno.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","PF Traslochi, Brescia. 268 follower, 99 post. Traslochi residenziali e commerciali, montaggio mobili, noleggio autoscala, deposito, imballaggio. Tel. 030 9038742. Sito pftraslochibrescia.it.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@marmibottinivaresemilano,Marmi Bottini,Busto Arsizio (VA),Marmista dal 1855,1275,R,"cercato «marmi varese» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 203 post, 1275 follower. Che è strutturata si vede dal profilo: marmo, granito e gres su misura dal 1855 in viale Sicilia 2, con lavorazione CNC e articoli su riviste di design, cioe' laboratorio, macchine e posa. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende artigiane della zona. La vostra è dal 1855: marmo lavorato a controllo numerico in viale Sicilia, e il pezzo finito che finisce sulle riviste di design. Centosettant'anni di laboratorio sono un caso raro.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Marmi Bottini, Busto Arsizio (viale Sicilia 2). 1.275 follower, 203 post. Stone artisans dal 1855: marmo, granito, gres, CNC. Tel. 333 7487467. Sito pinobottini.com.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@sironi_marmi,Sironi Marmi,Monza (MB),"Lavorazione marmi e graniti, cento anni",279,R,"cercato «marmi monza» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 74 post, 279 follower. Che è strutturata si vede dal profilo: lavorazione marmi, graniti, agglomerati di quarzo e Dekton, cento anni di attivita' con cava e laboratorio a Monza. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende artigiane della Brianza. La vostra ha cent'anni di lavorazione a Monza: dal marmo al Dekton, con cava e laboratorio. Un secolo di mestiere che si è dovuto rinnovare più volte.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Sironi Marmi, Monza. 279 follower, 74 post. Marmi, graniti, quarzo, Dekton; 100 anni di attività. Tel. 333 2859009. Sito sironimarmi.com.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@traslochi.arundine,Traslochi Arundine,Vigevano (PV),Traslochi e noleggio piattaforme,340,R,"cercato «traslochi vigevano» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 172 post, 340 follower. Che è strutturata si vede dal profilo: oltre vent'anni tra Vigevano, Pavia e Milano, esperti nel noleggio piattaforme, sede in via Manara Negrone 41, cioe' mezzi e squadre su tre province. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende di servizi della zona. La vostra lavora su tre province, Vigevano, Pavia e Milano, con le piattaforme a noleggio oltre ai traslochi. Vent'anni di squadre e mezzi in giro da coordinare.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Traslochi Arundine, Vigevano (via Manara Negrone 41). 340 follower, 172 post. Oltre 20 anni tra Vigevano, Pavia e Milano; noleggio piattaforme. Tel. 333 8488168. Sito traslochiarundine.it.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@vivaiodelsolecrema,Vivaio del Sole,Crema (CR),Vivaio e progettazione giardini,572,R,"cercato «vivaio crema» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 119 post, 572 follower. Che è strutturata si vede dal profilo: centro botanico dal 1993 in via Visconti con piante, fiori, floricoltura, orticoltura e progettazione giardini, cioe' serre, vendita e cantieri esterni. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende agricole e vivaistiche della zona. La vostra dal 1993 tiene insieme le serre, la vendita in via Visconti e i giardini progettati fuori. Tre lavori con tre stagioni diverse.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Vivaio del Sole 1993, Crema (via Visconti). 572 follower, 119 post. Centro botanico, piante e fiori, floricoltura, orticoltura, progettazione giardini. Tel. 347 8565941. Sito vivaiodelsole.it.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@vivaiosaronno,Vivaio Saronno,Saronno (VA),Vivaio,1152,R,"cercato «vivaio saronno» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 207 post, 1152 follower. Che è strutturata si vede dal profilo: vivaio a Saronno con 207 post di piante, serre e stagioni e un linktree con i contatti, cioe' una struttura con serre e vendita. Link in bio: linktr.ee.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende agricole e vivaistiche della zona. Un vivaio a Saronno con le serre che seguono le stagioni ci interessa: il lavoro cambia da marzo a novembre, e vogliamo capire come lo si organizza.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Vivaio Saronno. 1.152 follower, 207 post. Vivaio con serre. Link in bio linktr.ee.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
@salumificiobrianza,Salumificio Brianza,Brianza (MB),"Salumificio, prosciutto DOP",1162,R,"cercato «salumificio brianza» nella ricerca di Instagram → [verifica-azienda] profilo letto dall'API il 23/9: 31 post, 1162 follower. Che è strutturata si vede dal profilo: produttore del Prosciutto Veneto DOP con sito proprio, cioe' uno stabilimento con stagionatura e filiera certificata. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende di produzione della Brianza. Un salumificio che fa un prosciutto DOP ha una filiera certificata da seguire ogni giorno: stagionatura, controlli, spedizioni. È il tipo di processo che vogliamo capire.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Salumificio Brianza. 1.162 follower, 31 post. Produttore del Prosciutto Veneto DOP. Tel. 347 8111437. Sito salumificiobrianza.it.",2026-09-23-instagram-ricerca-lombardia,ricerca,,
