Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@officinacucchi,🚗🚙🚛 Officina F.lli Cucchi - Pavia ☎️ 0382 559659🚗🚙🚚,San Martino Siccomario (PV),Officina meccanica e veicoli industriali,516,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 184 post, 516 follower. Che è strutturata si vede dal profilo: auto moderne, vintage, ibride e veicoli industriali, con revisioni in sede, elettrauto, motori e tachigrafi digitali: quattro linee di lavoro nello stesso capannone. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle officine della zona, e la vostra fa una cosa che poche fanno: auto moderne, vintage, ibride e veicoli industriali, con i tachigrafi digitali. Quattro mondi diversi da tenere in ordine.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Officina F.lli Cucchi, San Martino Siccomario (PV). 516 follower, 184 post. Officina meccanica su auto moderne, vintage, ibride e veicoli industriali, con revisioni in sede, elettrauto, motori e tachigrafi digitali. Sito proprio fratellicucchi.it.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@edildeltasas,Edildelta | Home Design Solutions,Milano (MI),Commercio edile e ristrutturazioni,6238,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 948 post, 6238 follower. Che è strutturata si vede dal profilo: dal 1973; pavimenti, rivestimenti, ambiente bagno, porte, ferramenta, posa in opera e ristrutturazioni: magazzino largo e cantieri aperti, 948 post. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, piccola software house di Seveso (www.denkicode.com).

Non le vendo niente. Stiamo facendo una ricerca sulle aziende dell'edilizia qui in zona: che programmi usate davvero per ordini, magazzino, cantieri. E cosa tocca ancora rifare a mano due volte. Con pavimenti, bagno, porte, ferramenta e posa, il magazzino di roba ne ha parecchia.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine del giro le mando il riepilogo di come sono messe le altre.","Edildelta, Milano. 6.238 follower, 948 post. Dal 1973. Pavimenti, rivestimenti, ambiente bagno, porte, edilizia, ferramenta, posa in opera e ristrutturazioni: magazzino largo e cantieri aperti. Sito proprio edildelta.it.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@fca_como,Facility Center Automotive,Lipomo (CO),Detailing e autoriparazione,3121,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 700 post, 3121 follower. Che è strutturata si vede dal profilo: centro detailing in via Gino Grassi 327 con lucidatura, PPF, wrapping e oscuramento vetri certificato: lavorazioni lunghe a tempi fissi, 700 post. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende dell'autoriparazione fra Como e provincia. La domanda è come tenete preventivi, ricambi, schede lavorazione, e dove si perde più tempo. Su lucidatura, PPF e wrapping ogni lavoro ha tempi suoi.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito le mando cosa è venuto fuori dalle altre.","Facility Center Automotive, Lipomo (CO), via Gino Grassi 327. 3.121 follower, 700 post. Detailing professionale: lucidatura, PPF, wrapping, oscuramento vetri certificato. Sito proprio fcacomo.it.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@moli_costruzioni_brescia,Moli_Costruzioni,Montichiari (BS),Impresa edile,7742,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 529 post, 7742 follower. Che è strutturata si vede dal profilo: 529 post di tetti, pavimenti, rivestimenti, cartongesso e tinteggiature, con due numeri di cantiere in bio: piu squadre in giro nello stesso periodo. Nessun dominio proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente. Stiamo facendo una ricerca sulle imprese edili del Bresciano: che strumenti usate per preventivi, materiali, rapportini di cantiere. E cosa si riscrive due volte fra cantiere e ufficio. Cinquecento post di tetti, pavimenti e cartongesso dicono che di cantieri ne girate parecchi.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine del giro le mando il riepilogo delle altre aziende della zona.","Moli Costruzioni, Montichiari (BS). 7.742 follower, 529 post. Lavori edili: ristrutturazioni, costruzioni, manutenzioni, tetti, pavimenti, rivestimenti, cartongesso, tinteggiature. Due numeri di cantiere in bio, nessun sito proprio.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@brianza_serramenti,Brianza Serramenti,Cesano Maderno (MB),Serramenti e infissi,5346,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 860 post, 5346 follower. Che è strutturata si vede dal profilo: infissi, serramenti, porte e pergole bioclimatiche fatti sul disegno: 860 post di posa, con varianti e ordini fornitore per ogni commessa. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sui serramentisti della Brianza: come gestite misure, preventivi e ordini ai fornitori, e cosa vi tocca ricopiare a mano. Fra infissi, porte e pergole bioclimatiche le varianti da tenere in ordine sono tante.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Poi le mando quello che è venuto fuori dalle altre.","Brianza Serramenti, Cesano Maderno (MB). 5.346 follower, 860 post. Infissi, serramenti, porte e pergole bioclimatiche su misura: il lavoro su misura moltiplica varianti, misure e ordini fornitore. Sito proprio brianzaserramenti.com.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@nuovaedilcostruzioni1978,Nuova Edil Costruzioni dal 1978,Milano (MI),Impresa edile,3544,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 351 post, 3544 follower. Che è strutturata si vede dal profilo: impresa edile dal 1978 specializzata in ristrutturazioni chiavi in mano: commesse lunghe con piu fornitori in parallelo. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode (www.denkicode.com).

Non le vendo niente. Stiamo facendo una ricerca sulle imprese edili di Milano e provincia, e cerchiamo chi lavora chiavi in mano, come fate dal 1978. La domanda è come tenete insieme commessa, fornitori e avanzamento, e cosa si riscrive due volte.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando cosa è venuto fuori.","Nuova Edil Costruzioni, Milano. 3.544 follower, 351 post. Impresa edile specializzata in ristrutturazioni chiavi in mano dal 1978: commesse lunghe con più fornitori. Sito proprio nuovaedilcostruzioni.com.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@officinagierre,Officina Gierre,Manerbio (BS),Autofficina,286,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 42 post, 286 follower. Che è strutturata si vede dal profilo: assistenza auto completa in via Cremona 20: meccanica, elettronica, gomme e soccorso stradale, quattro code di lavoro diverse. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle officine della Bassa: che programmi usate per preventivi, ricambi e schede di lavorazione. Con meccanica, elettronica, gomme e soccorso stradale, in officina entra un po' di tutto.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine le mando il riepilogo delle altre officine della zona.","Officina Gierre, Manerbio (BS), via Cremona 20. 286 follower, 42 post. Assistenza auto completa: meccanica, elettronica, gomme e soccorso stradale. Sito proprio officinagierre.it.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@auto.officina.kolaj_varese,auto.officina.kolaj_varese,Varese (VA),Autofficina e vendita auto,428,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 1102 post, 428 follower. Che è strutturata si vede dal profilo: 1.102 post di lavorazioni; meccanico, gommista, elettrauto, pre-revisioni, carrozzeria, clima e vendita di nuovo e usato. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, piccola software house di Seveso (www.denkicode.com).

Non le vendo niente. Stiamo facendo una ricerca sulle officine del Varesotto: come tenete preventivi, ricambi e lavorazioni, e cosa vi tocca rifare a mano due volte. Millecento post dicono che di auto ne passano tante, fra meccanica, gomme, clima e vendita.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Poi le mando quello che è venuto fuori dalle altre.","Officina Kolaj, Varese. 428 follower, 1.102 post. Meccanico, gommista, elettrauto, pre-revisioni, carrozzeria, ricarica aria condizionata e vendita auto nuovo e usato: molte linee di lavoro. Vetrina su impresapiu.subito.it, nessun dominio proprio.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@pozzicase,POZZICASE Bioedilizia,Bregnano (CO),Costruzioni prefabbricate in legno,17250,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 509 post, 17250 follower. Che è strutturata si vede dal profilo: prefabbricati in legno chiavi in mano, da catalogo oppure disegnati caso per caso, con casa campione visitabile: produzione piu cantiere. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende che costruiscono, e la vostra ha un caso particolare: prefabbricato in legno chiavi in mano, da catalogo oppure disegnato caso per caso. Due modi di lavorare che chiedono conti diversi.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando il riepilogo.","Pozzicase Bioedilizia, casa campione a Bregnano (CO). 17.250 follower, 509 post. Costruzioni prefabbricate in legno chiavi in mano, da catalogo o su misura: produzione più cantiere. Sito proprio pozzicase.it.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@3cserramenti,3C Serramenti,Ranica (BG),Serramenti e infissi,625,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 109 post, 625 follower. Che è strutturata si vede dal profilo: serramenti dal 1989 con posa certificata e tre punti in bio, Ranica, Treviglio e Brescia: squadre di posa da distribuire. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente. Stiamo facendo una ricerca sui serramentisti lombardi: come gestite misure, preventivi, posa. E cosa si riscrive fra cantiere e ufficio. Con tre punti fra Ranica, Treviglio e Brescia, i giri di posa da incastrare non sono pochi.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine le mando cosa è venuto fuori dalle altre aziende.","3C Serramenti. 625 follower, 109 post. Serramenti su misura dal 1989, posa certificata, Finstral Studio Partner. Tre sedi in bio: Ranica, Treviglio, Brescia. Sito proprio 3cserramenti.com.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
@autofficinabonalume,Bonalume Autofficina,Milano (MI),Autofficina,1798,R,"cercato «profili vicini a un'officina lombarda gia letta» col chaining di Instagram, non con la ricerca → [verifica-azienda] profilo letto dall'API il 21/9: 257 post, 1798 follower. Che è strutturata si vede dal profilo: officina nata nel 1980 con Angelo Bonalume e dal 1988 anche il figlio Alex: passaggio generazionale dichiarato in bio, 257 post. Sito proprio nel link in bio.",,,"Buongiorno, sono Patrick Sappa, DenkiCode, piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle officine qui in zona: che programmi usate davvero per preventivi, ricambi e rapportini, e cosa vi tocca ancora rifare a mano. Un'officina nata nel 1980 e passata di padre in figlio ha visto cambiare parecchi modi di lavorare.

Sei domande, due minuti, anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Poi le mando il riepilogo delle altre.","Bonalume Autofficina, Milano. 1.798 follower, 257 post. Nata nel 1980 con Angelo Bonalume, dal 1988 in squadra anche il figlio Alex: passaggio generazionale dichiarato in bio. Sito proprio bonalume.com.",2026-09-21-instagram-ricerca-lombardia,ricerca,,
