Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@serramentisavoldelli,Serramenti Savoldelli,Gianico (BS),Serramenti,3046,R,"cercato «""Serramenti Savoldelli"" Gianico» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: 119 post di produzione, «da 30 anni», sede a Gianico con laboratorio. Azienda che produce, non rivende",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e producete i serramenti da trent'anni: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Carobe 15, Gianico. «Da 30 anni il modo migliore di scegliere, realizzare e contestualizzare la tua finestra». 119 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@ercofinestre,Ercofinestre,Casnate con Bernate (CO),Serramenti,10900,R,"cercato «""Ercofinestre"" Casnate con Bernate» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: 822 post, «dal 1958 progettiamo e produciamo serramenti su misura», stabilimento a Casnate",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e progettate e producete serramenti dal 1958: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Adda 12, Casnate con Bernate. Dal 1958 a Como. 822 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@almi_serramenti,Almi srl,Vittuone (MI),Serramenti e facciate,646,R,"cercato «""Almi srl"" Vittuone» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: bio con progettazione, produzione e installazione di serramenti, facciate, verande e porte blindate. Ciclo completo",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e fate progettazione, produzione e posa sotto lo stesso tetto: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Strada Statale 11 n.28, Vittuone. Serramenti, facciate, verande. 101 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@carobbio_srl,Carobbio srl,Bergamo,Lavorazione lamiere,129,R,"cercato «""Carobbio srl"" Bergamo» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: bio con lavorazioni lamiere, taglio laser e punzonatura. Officina con macchine, non un ufficio",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e lavorate lamiera con taglio laser e punzonatura: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Gleno 4, Bergamo. Carobbio Officine Tecnologia Lamiere. Taglio laser, punzonatura. 29 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@bugada_serramenti1870,Serramenti Bugada,Sant'Omobono Imagna (BG),Falegnameria,403,R,"cercato «""Serramenti Bugada"" Sant'Omobono Imagna» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: bio «falegnameria dal 1870», 70 post di lavorazione. Centocinquant'anni di bottega",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e siete una falegnameria dal 1870: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.",Via Cascutelli 11. «Falegnameria dal 1870». 70 post.,2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@vianelliserramenti,Vianelli F.lli Serramenti,Brescia,Serramenti,139,R,"cercato «""Vianelli F.lli Serramenti"" Brescia» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: bio con «oltre 35 anni di esperienza», alluminio, PVC, persiane, tende e zanzariere",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e siete due fratelli con trentacinque anni di lavoro dietro: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Luigi Abbiati 18, Brescia. Oltre 35 anni. 20 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@svserramenti,SV Serramenti,Poncarale (BS),Serramenti,628,R,"cercato «""SV Serramenti"" Poncarale» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: 141 post di forniture e posa, orari d'ufficio scritti in bio. Azienda con sede e magazzino",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e fate fornitura e posa con una sede vostra: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","SS45bis 2, Poncarale. Fornitura e posa. Lun-ven 9-12 e 14:30-18:30. 141 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@pegoianimegastore,Pegoiani,Castenedolo (BS),Edilizia e finiture,1416,R,"cercato «""Pegoiani"" Castenedolo» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: 626 post, «dal 2002», showroom e consulenza su pavimenti, rivestimenti, serramenti e porte",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e avete uno showroom vero e quattro linee di prodotto: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via dei Ponticelli 69, Castenedolo. Dal 2002. Showroom. 626 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@m.t.m_srl,MTM srl,Barlassina (MB),Verniciatura industriale,221,R,"cercato «""MTM srl"" Barlassina» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: bio con «40 anni di esperienza nella verniciatura a polvere» e trattamento superficiale dei metalli. Impianto, non bottega",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e verniciate a polvere da quarant'anni: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Giovanni Segantini 17, Barlassina. Verniciatura industriale a polvere. 52 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
@verniciatura_lanuova,Verniciatura Industriale La Nuova,Cigole (BS),Verniciatura industriale,2349,R,"cercato «""Verniciatura Industriale La Nuova"" Cigole» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 14/9: bio con «oltre 50 anni» e lavorazioni speciali per mezzi. 142 post di impianto",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e verniciate mezzi industriali da cinquant'anni: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Pavone del Mella 1, Cigole. Oltre 50 anni. Lavorazioni speciali per mezzi. 142 post.",2026-09-14-instagram-ricerca-lombardia.csv,ricerca,,
