Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@edilcomasca,Edilcomasca,Vertemate con Minoprio (CO),Impresa edile,2730,R,"cercato «impresa vertemate con minoprio» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 573 post, 2730 follower. Che è strutturata si vede dal profilo: Edilcomasca, via Risorgimento 9, Vertemate con Minoprio",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio. Voi siete il tipo di azienda che ci serve per avere un quadro vero: costruite case nuove su Como e provincia e in cinquecento post si vede il cantiere, non il rendering.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Edilcomasca, via Risorgimento 9, Vertemate con Minoprio. Impresa edile specializzata in nuove costruzioni, abitazioni moderne ed efficienti, Como e provincia. 573 post, 2730 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@costruzionibonardistefano,Costruzioni Bonardi Stefano,Sarnico (BG),Edilizia,2582,R,"cercato «edilizia sarnico» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 524 post, 2582 follower. Che è strutturata si vede dal profilo: Costruzioni Bonardi Stefano | Edilizia e Innovazione",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio. Voi siete il tipo di azienda che ci serve per avere un quadro vero: lavorate fra il lago d'Iseo, Bergamo e Brescia fra ristrutturazioni e nuove costruzioni.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Costruzioni Bonardi Stefano | Edilizia e Innovazione. Ristrutturazioni e nuove costruzioni, lago d'Iseo, Bergamo e Brescia. 524 post, 2582 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@mimakibompantextile,Mimaki Bompan Textile,Tradate (VA),Stampa digitale tessile,1845,R,"cercato «stampa tradate» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 558 post, 1845 follower. Che è strutturata si vede dal profilo: Mimaki Bompan Textile srl",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e da Tradate portate la stampa digitale nel tessile fra sublimazione, DTF e pigmento: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Mimaki Bompan Textile srl. Soluzioni per la stampa digitale nel settore tessile: sublimazione, DTF, pigmento. Tradate (VA). 558 post, 1845 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@mlc_packaging,MLC Packaging,Desenzano del Garda (BS),Packaging,1772,R,"cercato «packaging desenzano del garda» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 537 post, 1772 follower. Che è strutturata si vede dal profilo: MLC PACKAGING",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e fate shopper e packaging da Desenzano, con cinquecento post di produzione vera: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","MLC PACKAGING. Shoppers & packaging. Desenzano del Garda (BS), tel 030 9914904. 537 post, 1772 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@ravelli_service,Ravelli Service,Bergamo (BG),Macchine per cucire e ricamo,3071,R,"cercato «macchine bergamo» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 397 post, 3071 follower. Che è strutturata si vede dal profilo: Ravelli Service, macchine per cucire e ricamo a Bergamo",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio. Voi siete il tipo di azienda che ci serve per avere un quadro vero: vendete e assistete macchine per cucire e ricamo su tutto il Nord Italia.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Ravelli Service, macchine per cucire e ricamo a Bergamo. Macchine cucire e ricamo per il Nord Italia, consulenza. 397 post, 3071 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@arves_serramenti,ARVES Ambienti & Serramenti,Uggiate con Ronago (CO),Serramenti,1486,R,"cercato «serramenti uggiate con ronago» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 472 post, 1486 follower. Che è strutturata si vede dal profilo: ARVES - Ambienti & serramenti",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio. Voi siete il tipo di azienda che ci serve per avere un quadro vero: trent'anni di vetrate e infissi , e in bio ci sono i nomi vostri tre invece di uno slogan.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","ARVES - Ambienti & serramenti. Vetrate e infissi su misura da 30 anni. Adriana, Fausto e Matteo. Via Lugano 9, Uggiate con Ronago (CO). 472 post, 1486 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@dea_impianti_elettrici,D&A Impianti Elettrici,Cocquio Trevisago (VA),Impianti elettrici industriali,2556,R,"cercato «impianti cocquio trevisago» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 278 post, 2556 follower. Che è strutturata si vede dal profilo: D&A Impianti Elettrici, strada per Caldana 1, Cocquio Trevisago (VA)",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e fate impianti elettrici e tecnologici per l'industriale su tutto il Nord Italia: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","D&A Impianti Elettrici, strada per Caldana 1, Cocquio Trevisago (VA). Impianti elettrici e tecnologici per l'industriale e il residenziale di alta fascia, Nord Italia. 278 post, 2556 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@imasgrafica,IMAS Grafica,Abbiategrasso (MI),Distribuzione per la stampa,2124,R,"cercato «distribuzione abbiategrasso» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 283 post, 2124 follower. Che è strutturata si vede dal profilo: IMAS Grafica SRL, via Brisconno 10, Abbiategrasso",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio. Voi siete il tipo di azienda che ci serve per avere un quadro vero: importate e distribuite serigrafia e attrezzature su cinque sedi in Italia.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","IMAS Grafica SRL, via Brisconno 10, Abbiategrasso. Importatore e distributore nazionale di serigrafia, deco-digi, attrezzature e termoadesivi. Sedi MI, BS, MO, AN, VR. 283 post, 2124 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@guerrilla.boratory,Guerrillab,Cernusco sul Naviglio (MI),Serigrafia e stampa,3292,R,"cercato «serigrafia cernusco sul naviglio» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 148 post, 3292 follower. Che è strutturata si vede dal profilo: Serigrafia Milano",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e serigrafia, stampa digitale, ricamo e DTF con la produzione che parte dai cinquanta pezzi: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Serigrafia Milano. Serigrafia, stampa digitale, ricamo, DTF, produzione abbigliamento. Ordini sopra i 50 pezzi, confezione dai 100. Strada statale padana superiore 16/18, Cernusco sul Naviglio. 148 post, 3292 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
@caseificio_fiordilatte_milano,Caseificio Fiordilatte,Milano (MI),Caseificio,1964,R,"cercato «caseificio milano» nella ricerca di Instagram → [verifica-azienda] profilo letto dall’API il 17/9: 245 post, 1964 follower. Che è strutturata si vede dal profilo: Caseificio Fiordilatte",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e caseificio artigianale in via Mac Mahon con il banco anche in Eataly e il catering con lo show cooking: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Caseificio Fiordilatte. Caseificio artigianale a Milano, catering premium ed eventi con show cooking caseario. Via Mac Mahon 12 e Eataly Milano. 245 post, 1964 follower.",2026-09-17-instagram-ricerca-lombardia.csv,ricerca,,
