Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@pawashbergamo,PA WASH Bergamo,Bergamo (BG),Autolavaggio,2147,R,"cercato «autolavaggio bergamo» nella ricerca di Instagram → profilo aperto e letto il 12/9, 224 post · [verifica-azienda] aperto 24 ore su 24, sette giorni su sette, con impianto automatico e self service per auto, moto, furgoni e camper: un impianto cosi' vuole manutenzione e presidio",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente. Non le chiedo nemmeno un appuntamento. Ho guardato il profilo: aperto 24 ore su 24, sette giorni su sette, con impianto automatico e self service per auto, moto, furgoni e camper.

Stiamo facendo una ricerca sulle aziende di autolavaggio: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende della zona. Almeno sa come sono messi gli altri.","Bergamo (BG). Aperto 24 ore su 24, sette giorni su sette, con impianto automatico e self service per auto, moto, furgoni e camper. 2147 follower, 224 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@findpartssrl,Find Parts SRL,Cagno (CO),Ricambi auto,922,R,"cercato «ricambi auto lombardia» nella ricerca di Instagram → profilo aperto e letto il 12/9, 44 post · [verifica-azienda] magazzino proprio con ritiro in sede e ordini pronti entro dieci giorni: c'e' una logistica dietro",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, si chiama DenkiCode.

Non le vendo niente e non le chiedo un appuntamento. Ho letto il profilo: magazzino proprio con ritiro in sede e ordini pronti entro dieci giorni.

Stiamo facendo una ricerca sulle aziende dei ricambi auto: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Finito il giro le giro il riepilogo di cosa hanno risposto le altre aziende qui intorno. Serve più a lei che a me.","Cagno (CO). Magazzino proprio con ritiro in sede e ordini pronti entro dieci giorni. 922 follower, 44 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@ldds.disinfestazioni,LDDS Disinfestazioni,Lumezzane (BS),Disinfestazione,312,R,"cercato «disinfestazione lombardia» nella ricerca di Instagram → profilo aperto e letto il 12/9, 163 post · [verifica-azienda] fa sopralluoghi e interventi su tutta la Lombardia per aziende e privati: squadre che si spostano su commessa",,,"Buongiorno, sono Patrick Sappa della DenkiCode, siamo a Seveso.

Non c'è niente da comprare qui dentro. Nemmeno un appuntamento. Dal profilo si capisce una cosa: fa sopralluoghi e interventi su tutta la Lombardia per aziende e privati.

Stiamo facendo una ricerca sulle aziende di disinfestazione: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando chiudiamo la raccolta le mando il riassunto delle risposte delle altre aziende della zona.","Lumezzane (BS). Fa sopralluoghi e interventi su tutta la lombardia per aziende e privati. 312 follower, 163 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@carpenteria.milano,Carpenteria Milano,Milano (MI),Carpenteria,270,R,"cercato «carpenteria milano» nella ricerca di Instagram → profilo aperto e letto il 12/9, 61 post · [verifica-azienda] carpenteria attiva dal 1965 a Milano: sessant'anni di officina",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente. Non le chiedo nemmeno un appuntamento. Ho guardato il profilo: carpenteria attiva dal 1965 a Milano.

Stiamo facendo una ricerca sulle carpenterie della zona: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine le mando quello che è uscito dalle altre aziende. È il minimo, visto che i due minuti li mette lei.","Milano (MI). Carpenteria attiva dal 1965 a milano. 270 follower, 61 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@carpenteria_metallica_rubini,Carpenteria Metallica Rubini,Barbata (BG),Carpenteria,345,R,"cercato «carpenteria metallica brescia» nella ricerca di Instagram → profilo aperto e letto il 12/9, 339 post · [verifica-azienda] societa' in nome collettivo di due soci con sede in via Fermi 164 a Barbata, attiva dal 1800: officina strutturata con 339 post di lavorazioni",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, si chiama DenkiCode.

Non le vendo niente e non le chiedo un appuntamento. Ho letto il profilo: società in nome collettivo di due soci con sede in via Fermi 164 a Barbata, attiva dal 1800.

Stiamo facendo una ricerca sulle carpenterie metalliche: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende della zona. Almeno sa come sono messi gli altri.","Barbata (BG). Società in nome collettivo di due soci con sede in via fermi 164 a barbata, attiva dal 1800. 345 follower, 339 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@studiotecnico.zanolariccardo,Studio Tecnico Zanola,Montichiari (BS),Studio tecnico,1549,R,"cercato «studio tecnico brescia» nella ricerca di Instagram → profilo aperto e letto il 12/9, 199 post · [verifica-azienda] progetta logistica, industriale e residenziale con scansioni 3D e render: strumentazione e commesse da azienda, non da singolo",,,"Buongiorno, sono Patrick Sappa della DenkiCode, siamo a Seveso.

Non c'è niente da comprare qui dentro. Nemmeno un appuntamento. Dal profilo si capisce una cosa: progetta logistica, industriale e residenziale con scansioni 3D e render.

Stiamo facendo una ricerca sulle studi che progettano capannoni: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Finito il giro le giro il riepilogo di cosa hanno risposto le altre aziende qui intorno. Serve più a lei che a me.","Montichiari (BS). Progetta logistica, industriale e residenziale con scansioni 3d e render. 1549 follower, 199 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@azienda_agricola_bergamo,Azienda Agricola Bergamo,Bergamo (BG),Azienda agricola,465,R,"cercato «azienda agricola bergamo» nella ricerca di Instagram → profilo aperto e letto il 12/9, 94 post · [verifica-azienda] azienda agricola con spaccio aperto al pubblico, 94 post di stalla e mezzi ⚠ la bio e' vuota: la zona la dichiara solo il nome del profilo, da confermare aprendo i post",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente. Non le chiedo nemmeno un appuntamento. Ho guardato il profilo: azienda agricola con spaccio aperto al pubblico, 94 post di stalla e mezzi.

Stiamo facendo una ricerca sulle aziende agricole con vendita diretta: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando chiudiamo la raccolta le mando il riassunto delle risposte delle altre aziende della zona.","Bergamo (BG). Azienda agricola con spaccio aperto al pubblico, 94 post di stalla e mezzi. 465 follower, 94 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@aziendaagricolamantovani,Azienda Agricola Mantovani,San Giovanni del Dosso (MN),Azienda agricola,268,R,"cercato «azienda agricola mantova» nella ricerca di Instagram → profilo aperto e letto il 12/9, 82 post · [verifica-azienda] azienda vitivinicola biologica con Lambrusco Mantovano DOC e citazioni su Bibenda e Slow Wine: produzione certificata e vendita",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, si chiama DenkiCode.

Non le vendo niente e non le chiedo un appuntamento. Ho letto il profilo: azienda vitivinicola biologica con Lambrusco Mantovano DOC e citazioni su Bibenda e Slow Wine.

Stiamo facendo una ricerca sulle aziende agricole con vendita diretta: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine le mando quello che è uscito dalle altre aziende. È il minimo, visto che i due minuti li mette lei.","San Giovanni del Dosso (MN). Azienda vitivinicola biologica con lambrusco mantovano doc e citazioni su bibenda e slow wine. 268 follower, 82 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@fabbro_bergamo,Fabbro Bergamo,Fino Mornasco (CO),Fabbro,2476,R,"cercato «fabbro bergamo» nella ricerca di Instagram → profilo aperto e letto il 12/9, 601 post · [verifica-azienda] pronto intervento e apertura porte con due numeri di reperibilita': servizio su chiamata H24, 601 post di interventi",,,"Buongiorno, sono Patrick Sappa della DenkiCode, siamo a Seveso.

Non c'è niente da comprare qui dentro. Nemmeno un appuntamento. Dal profilo si capisce una cosa: pronto intervento e apertura porte con due numeri di reperibilità.

Stiamo facendo una ricerca sulle officine di fabbri: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende della zona. Almeno sa come sono messi gli altri.","Fino Mornasco (CO). Pronto intervento e apertura porte con due numeri di reperibilità. 2476 follower, 601 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
@mologni_ferrobattuto,Mologni SNC,Nembro (BG),Fabbro e carpenteria,295,R,"cercato «fabbro bergamo» nella ricerca di Instagram → profilo aperto e letto il 12/9, 80 post · [verifica-azienda] societa' in nome collettivo attiva dal 1980 a Nembro, fa cancelli, ringhiere e recinzioni su misura: laboratorio con lavorazioni proprie",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente. Non le chiedo nemmeno un appuntamento. Ho guardato il profilo: società in nome collettivo attiva dal 1980 a Nembro, fa cancelli, ringhiere e recinzioni su ordinazione.

Stiamo facendo una ricerca sulle officine di fabbri: che programmi usate davvero per ordini, magazzino e turni. E cosa vi tocca ancora rifare a mano due volte.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Finito il giro le giro il riepilogo di cosa hanno risposto le altre aziende qui intorno. Serve più a lei che a me.","Nembro (BG). Società in nome collettivo attiva dal 1980 a nembro, fa cancelli, ringhiere e recinzioni su ordinazione. 295 follower, 80 post.",2026-09-13-instagram-ricerca-lombardia.csv,ricerca,,
