Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@brianzanautica,Brianza Nautica,Cantù (CO),Concessionaria nautica e officina,1230,R,"cercato «cantieri nautici Como» su Pagine Gialle → scheda a Cantù, sito brianzanautica.it, Instagram dalla scheda [verifica-azienda] profilo aperto il 25/9: 281 post, 1.230 follower. Che è strutturata si vede dal profilo: dealer ufficiale MV Marine e Nuova Jolly, concessionaria e officina Mercury e Selva, cioè vendita e assistenza con un'officina",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende nautiche qui in zona. La vostra tiene insieme due mestieri: vendete le barche MV Marine e Nuova Jolly, poi in officina seguite i motori Mercury e Selva.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Brianza Nautica, via Donizetti 10, Cantù. 1.230 follower, 281 post. Dealer MV Marine e Nuova Jolly, officina Mercury e Selva, personalizzazioni. Sito brianzanautica.it.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@nauticamassimo,Nautica Massimo,Ponte San Pietro (BG),"Nautica: vendita, assistenza e rimessaggio",313,R,"cercato «cantieri nautici Bergamo» su Pagine Gialle → sito nauticamassimo.it, Instagram dal sito [verifica-azienda] profilo aperto il 25/9: 51 post, 313 follower. Che è strutturata si vede dal profilo: vendita, assistenza, deposito e allestimento di barche, motori e rimorchi, nuovi e usati, cioè negozio, officina e rimessaggio",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende nautiche qui in zona. La vostra fa vendita, assistenza, deposito e allestimento di barche e motori, tutto sotto lo stesso tetto a Ponte San Pietro.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Nautica Massimo, via Galilei 2/B, Ponte San Pietro. 313 follower, 51 post. Vendita, assistenza, deposito e allestimento di imbarcazioni, motori e rimorchi. Sito nauticamassimo.it.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@cavalieriropes,Cavalieri Rag. Cesare,Sale Marasino (BS),Corderia: corde e trecce sintetiche,392,R,"cercato «cantieri nautici Como» su Pagine Gialle → scheda a Sale Marasino, sito cavalieriropes.it, Instagram dal sito [verifica-azienda] profilo aperto il 25/9: 181 post, 392 follower. Che è strutturata si vede dal profilo: produzione di corde e trecce in fibre sintetiche per molti settori, dal 1962",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende manifatturiere qui in zona. La vostra fa corde e trecce in fibra sintetica dal 1962, sul lago d'Iseo: più di sessant'anni di produzione.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Cavalieri Rag. Cesare, Sale Marasino (lago d'Iseo). 392 follower, 181 post. Corde e trecce in fibre sintetiche per molti settori, dal 1962. Sito cavalieriropes.it.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@frigeriospa,Frigerio,Orio al Serio (BG),"Produzione scale, ponteggi e trabattelli",179,R,"cercato «noleggio piattaforme aeree Bergamo» su Pagine Gialle → scheda Frigerio Carpenterie SpA a Orio al Serio, sito frigeriospa.com, Instagram dalla scheda [verifica-azienda] profilo aperto il 25/9: 183 post, 179 follower. Che è strutturata si vede dal profilo: produzione e commercio di scale, ponteggi e trabattelli, con linee per l'aeronautica e la sicurezza sul lavoro",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende manifatturiere qui in zona. La vostra produce scale, ponteggi e trabattelli, e negli highlight ci sono perfino le applicazioni speciali per l'aeronautica.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Frigerio Carpenterie SpA, Orio al Serio. 179 follower, 183 post. Scale, ponteggi, trabattelli, sistemi di elevazione. Linee Aircraft e sicurezza lavoro. Sito frigeriospa.com.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@mgcarrelli,MG Carrelli,Verdello (BG),Noleggio carrelli elevatori e logistica,324,R,"cercato «noleggio piattaforme aeree Bergamo» su Pagine Gialle → scheda MG Carrelli a Verdello, sito mgcarrelli.it, Instagram dalla scheda [verifica-azienda] profilo aperto il 25/9: 372 post, 324 follower. Che è strutturata si vede dal profilo: noleggio di carrelli elevatori e accumulatori dal 2002, consulenza sugli impianti di logistica, officina e formazione",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende della logistica qui in zona. La vostra noleggia carrelli elevatori dal 2002, progetta impianti di logistica e fa anche formazione: un mestiere che tocca tutti i magazzini della zona.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","MG Carrelli (Mg Sas), via Fantoni 1, Verdello. 324 follower, 372 post. Noleggio carrelli elevatori e accumulatori dal 2002, consulenza logistica, officina, formazione. Sito mgcarrelli.it.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@abicasa_vivere_stile_passione,Abicasa,Milano (MI),Ristrutturazione d'interni e arredo bagno,759,R,"cercato «lattonerie Milano» su Pagine Gialle → scheda Abicasa Vivere con Stile a Milano, sito abicasa.it, Instagram dalla scheda [verifica-azienda] profilo aperto il 25/9: 631 post, 759 follower. Che è strutturata si vede dal profilo: ristrutturazione d'interni e arredo bagno, con più di seicento lavori pubblicati",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende edili qui in zona. La vostra ristruttura interni e bagni a Milano, e con più di seicento post fa vedere un cantiere dopo l'altro.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Abicasa Vivere con Stile, Milano. 759 follower, 631 post. Ristrutturazione d'interni, arredo bagno. Sito abicasa.it.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@edilceramicheberetta,Edil Ceramiche Beretta,Bonate Sotto (BG),"Materiali edili, pavimenti e ristrutturazioni",982,R,"cercato «coperture tetti Bergamo» su Pagine Gialle → scheda a Bonate Sotto, sito edilceramicheberetta.it, Instagram dalla scheda [verifica-azienda] profilo aperto il 25/9: 299 post, 982 follower. Che è strutturata si vede dal profilo: materiali edili, pavimenti e rivestimenti, arredo bagno e ristrutturazioni chiavi in mano",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende edili qui in zona. La vostra vende pavimenti, rivestimenti, arredo bagno, poi i lavori li fa anche chiavi in mano: negozio e cantiere insieme.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Edil Ceramiche Beretta Srl, via Martiri della Libertà 18, Bonate Sotto. 982 follower, 299 post. Materiali edili, pavimenti, arredo bagno, ristrutturazioni chiavi in mano. Sito edilceramicheberetta.it.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@carrozzeria.industriale.algeri,Carrozzeria Industriale Algeri,Pedrengo (BG),Carrozzeria industriale,228,R,"cercato «coperture tetti Bergamo» su Pagine Gialle → scheda a Pedrengo, sito carrozzeriaindustrialealgeri.com, Instagram dalla scheda [verifica-azienda] profilo aperto il 25/9: 97 post, 228 follower. Che è strutturata si vede dal nome e dal profilo: carrozzeria industriale, cioè allestimenti e riparazioni per mezzi pesanti",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende dell'autoriparazione qui in zona. La vostra è una carrozzeria industriale, di quelle che lavorano sui mezzi pesanti, e con quasi cento post fa vedere ogni allestimento.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Carrozzeria Industriale Algeri, via Giacomo Leopardi 13/a, Pedrengo. 228 follower, 97 post. Sito carrozzeriaindustrialealgeri.com.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@domidea.it,Domidea Ristrutturazioni,Milano (MI),Impresa di ristrutturazioni,10100,R,"cercato «impermeabilizzazioni Milano» su Pagine Gialle → scheda Domidea Ristrutturazioni a Milano, sito domidea-ristrutturazioni.it, Instagram dalla scheda [verifica-azienda] profilo aperto il 25/9: 424 post, 10.100 follower. Che è strutturata si vede dal profilo: impresa di ristrutturazioni con più sedi, cantieri pubblicati e un metodo di lavoro con un nome",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende edili qui in zona. La vostra tiene insieme architettura e cantiere, con più sedi e un metodo che ha perfino un nome.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Domidea Ristrutturazioni, Milano e altre sedi. 10.100 follower, 424 post. Highlight Cantieri, Le sedi, Recensioni, Metodo Domidea. Sito domidea-ristrutturazioni.it.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
@flyoriginalofficial,Fly Original,Milano (MI),Lavori in quota su funi,223,R,"cercato «impermeabilizzazioni Milano» su Pagine Gialle → scheda Fly Original a Milano, sito flyoriginal.it, Instagram dalla scheda [verifica-azienda] profilo aperto il 25/9: 173 post, 223 follower. Che è strutturata si vede dal profilo: manutenzioni edili senza ponteggi con tecnici su funi, grandi progetti e lavori industriali",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende edili qui in zona. La vostra fa manutenzione degli edifici senza ponteggi, con tecnici appesi alle funi: un mestiere che in pochi sanno fare.

Sei domande, anonime. Due minuti:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende qui intorno.","Fly Original, via Roberto Cozzi 30, Milano. 223 follower, 173 post. Lavori verticali su funi, manutenzioni edili senza ponteggi, industriale. Sito flyoriginal.it.",2026-09-25-instagram-ricerca-lombardia,ricerca,,
